month,rate
2014-04,1
2015-02,1
2015-03,1
2015-04,1
2015-05,1
2015-06,1
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,1
2016-03,1
2016-04,1
2016-05,1
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,1
2017-03,1
2017-04,1
2017-05,1
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,1
2017-11,1
2017-12,1
2018-01,1
2018-02,1
2018-03,1
2018-04,1
2018-05,1
2018-06,1
2018-07,1
2018-08,1
2018-09,1
2018-10,1
2018-11,1
2018-12,1
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,1
2019-10,1
2019-11,1
2019-12,1
2020-01,1
2020-02,1
2020-03,1
2020-04,1
2020-05,1
2020-06,1
2020-07,1
2020-08,1
2020-09,1
2020-10,1
2020-11,1
2020-12,1
2021-01,1
2021-02,1
2021-03,1
2021-04,1
2021-05,1
2021-06,1
2021-07,1
2021-08,1
2021-09,1
2021-10,1
2021-11,1
2021-12,1
2022-01,1
2022-02,1
2022-03,1
2022-04,1
2022-05,1
2022-06,1
2022-07,1
2022-08,1
2022-09,1
2022-10,1
2022-11,1
2022-12,1
2023-01,1
2023-02,1
2023-03,1
2023-04,1
2023-05,1
2023-06,1
2023-07,1
2023-08,1
2023-09,1
2023-10,1
2023-11,1
2023-12,1
2024-01,1
2024-02,1
2024-03,1
2024-04,1
2024-05,1
2024-06,1
2024-07,1
2024-08,1
2024-09,1
2024-10,1
2024-11,1
2024-12,1
